identity,labels,catalog_source,description,direction,one_of_group,required,slot_id,slot_name,tool_id,artifact,wdl_type,dimension,dimension_value,variant,variant_alias_for,builder_param,wdl_target,cardinality
io_slot:cnvkit_cnv_clinical::input::clinical_table,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,CLINICAL_DATA_EXCEL,input,,false,cnvkit_cnv_clinical::input::clinical_table,clinical_table,cnvkit_cnv_clinical,clinical_table,File,,,,,clinical_metadata,CnvkitCnvClinical.clinical_metadata,
io_slot:cnvkit_cnv_clinical::input::normal_bais,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,正常 BAI 数组,input,,true,cnvkit_cnv_clinical::input::normal_bais,normal_bais,cnvkit_cnv_clinical,bai,Array[File]+,sample_role,normal,,,normal_bais,CnvkitCnvClinical.normal_bais,array
io_slot:cnvkit_cnv_clinical::input::normal_bams,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,正常 BAM 数组,input,,true,cnvkit_cnv_clinical::input::normal_bams,normal_bams,cnvkit_cnv_clinical,aligned_bam,Array[File]+,sample_role,normal,,,normal_bams,CnvkitCnvClinical.normal_bams,array
io_slot:cnvkit_cnv_clinical::input::tumor_bais,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,肿瘤 BAI 数组,input,,true,cnvkit_cnv_clinical::input::tumor_bais,tumor_bais,cnvkit_cnv_clinical,bai,Array[File]+,sample_role,tumor,,,tumor_bais,CnvkitCnvClinical.tumor_bais,array
io_slot:cnvkit_cnv_clinical::input::tumor_bams,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,肿瘤 BAM 数组,input,,true,cnvkit_cnv_clinical::input::tumor_bams,tumor_bams,cnvkit_cnv_clinical,aligned_bam,Array[File]+,sample_role,tumor,,,tumor_bams,CnvkitCnvClinical.tumor_bams,array
io_slot:cnvkit_cnv_clinical::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,cnvkit_cnv_clinical::output::tabular_bio_data,tabular_bio_data,cnvkit_cnv_clinical,analysis_summary,File,,,,,,,
io_slot:cnvkit_cnv_clinical::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,cnvkit_cnv_clinical::output::visualization_result,visualization_result,cnvkit_cnv_clinical,analysis_figure,File,,,,,,,
io_slot:cox_model::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,cox_model::input::clinical_table,clinical_table,cox_model,clinical_table,File,,,,,clinical_xls,cox_model.clinical_xls,
io_slot:cox_model::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,cox_model::input::sample_metainfo,sample_metainfo,cox_model,sample_metainfo,File,,,,,meta_xlsx,cox_model.meta_xlsx,
io_slot:cox_model::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,cox_model::input::tabular_bio_data,tabular_bio_data,cox_model,analysis_summary,File,,,,,expr,cox_model.expr,
io_slot:cox_model::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,cox_model::output::quality_control_report,quality_control_report,cox_model,quality_control_report,File,,,,,,,
io_slot:cox_model::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,cox_model::output::tabular_bio_data,tabular_bio_data,cox_model,analysis_summary,File,,,,,,,
io_slot:dataset_downstream::input::genome_annotation,IOSlot|io_slot,senior-0811-tool-csv,REFERENCE_GENOME_FASTA,input,,true,dataset_downstream::input::genome_annotation,genome_annotation,dataset_downstream,genome_annotation,File,,,,,gene_order,dataset_downstream.gene_order,
io_slot:dataset_downstream::input::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,input,,true,dataset_downstream::input::scrna_object_rds,scrna_object_rds,dataset_downstream,scrna_object,File,,,,,input_rds,dataset_downstream.input_rds,
io_slot:dataset_downstream::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,dataset_downstream::output::quality_control_report,quality_control_report,dataset_downstream,quality_control_report,File,,,,,,,
io_slot:dataset_matrix_annotation::input::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,input,,true,dataset_matrix_annotation::input::scrna_object_rds,scrna_object_rds,dataset_matrix_annotation,scrna_object,File,,,,,input_rds,dataset_matrix_annotation.input_rds,
io_slot:dataset_matrix_annotation::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,dataset_matrix_annotation::output::quality_control_report,quality_control_report,dataset_matrix_annotation,quality_control_report,File,,,,,,,
io_slot:de_enrichment::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,de_enrichment::input::clinical_table,clinical_table,de_enrichment,clinical_table,File,,,,,clinical_xls,de_enrichment.clinical_xls,
io_slot:de_enrichment::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,de_enrichment::input::sample_metainfo,sample_metainfo,de_enrichment,sample_metainfo,File,,,,,meta_xlsx,de_enrichment.meta_xlsx,
io_slot:de_enrichment::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,de_enrichment::input::tabular_bio_data,tabular_bio_data,de_enrichment,analysis_summary,File,,,,,expr,de_enrichment.expr,
io_slot:de_enrichment::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,de_enrichment::output::quality_control_report,quality_control_report,de_enrichment,quality_control_report,File,,,,,,,
io_slot:de_enrichment::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,de_enrichment::output::tabular_bio_data,tabular_bio_data,de_enrichment,analysis_summary,File,,,,,,,
io_slot:deg_enrichment::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,deg_enrichment::input::clinical_table,clinical_table,deg_enrichment,clinical_table,File,,,,,clinical_xls,deg_enrichment.clinical_xls,
io_slot:deg_enrichment::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,deg_enrichment::input::sample_metainfo,sample_metainfo,deg_enrichment,sample_metainfo,File,,,,,meta_xlsx,deg_enrichment.meta_xlsx,
io_slot:deg_enrichment::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,deg_enrichment::input::tabular_bio_data,tabular_bio_data,deg_enrichment,analysis_summary,File,,,,,expr,deg_enrichment.expr,
io_slot:deg_enrichment::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,deg_enrichment::output::quality_control_report,quality_control_report,deg_enrichment,quality_control_report,File,,,,,,,
io_slot:deg_enrichment::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,deg_enrichment::output::tabular_bio_data,tabular_bio_data,deg_enrichment,analysis_summary,File,,,,,,,
io_slot:deg_trend::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,deg_trend::input::clinical_table,clinical_table,deg_trend,clinical_table,File,,,,,clinical_xls,deg_trend.clinical_xls,
io_slot:deg_trend::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,deg_trend::input::sample_metainfo,sample_metainfo,deg_trend,sample_metainfo,File,,,,,meta_xlsx,deg_trend.meta_xlsx,
io_slot:deg_trend::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,deg_trend::input::tabular_bio_data,tabular_bio_data,deg_trend,analysis_summary,File,,,,,expr,deg_trend.expr,
io_slot:deg_trend::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,deg_trend::output::quality_control_report,quality_control_report,deg_trend,quality_control_report,File,,,,,,,
io_slot:deg_trend::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,deg_trend::output::tabular_bio_data,tabular_bio_data,deg_trend,analysis_summary,File,,,,,,,
io_slot:deg_trend::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,deg_trend::output::visualization_result,visualization_result,deg_trend,analysis_figure,File,,,,,,,
io_slot:diff_expr_go::in::expression,io_slot,,FPKM or TPM gene-by-sample matrix; group sample arrays and quant_type parameters are also required,input,,true,diff_expr_go::in::expression,expression_matrix,diff_expr_go,,File,,,,,expression_matrix,DiffExprGoWorkflow.expression_matrix,
io_slot:diff_expr_go::out::differential,io_slot,,Differential expression and regulated gene tables,output,,false,diff_expr_go::out::differential,differential_expression,diff_expr_go,,File,,,,,,,
io_slot:diff_expr_go::out::enrichment,io_slot,,GO MF CC and BP enrichment tables,output,,false,diff_expr_go::out::enrichment,go_enrichment,diff_expr_go,,File,,,,,,,
io_slot:diff_expr_kegg::in::expression,io_slot,,FPKM or TPM gene-by-sample matrix; workflow actually performs Reactome enrichment,input,,true,diff_expr_kegg::in::expression,expression_matrix,diff_expr_kegg,,File,,,,,expression_matrix,DiffExprKeggWorkflow.expression_matrix,
