identity,labels,catalog_source,description,direction,one_of_group,required,slot_id,slot_name,tool_id,artifact,wdl_type,dimension,dimension_value,variant,variant_alias_for,builder_param,wdl_target,cardinality
io_slot:immune_infiltration_iobr::out::fractions,io_slot,,CIBERSORT immune fractions,output,,false,immune_infiltration_iobr::out::fractions,immune_fractions,immune_infiltration_iobr,,File,,,,,,,
io_slot:immune_infiltration_iobr::out::qc,io_slot,,Status reliability and warning reports,output,,false,immune_infiltration_iobr::out::qc,quality_control,immune_infiltration_iobr,,File,,,,,,,
io_slot:immunotherapy_cellchat::input::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,input,,true,immunotherapy_cellchat::input::scrna_object_rds,scrna_object_rds,immunotherapy_cellchat,scrna_object,File,,,,,input_rds,immunotherapy_cellchat.input_rds,
io_slot:immunotherapy_cellchat::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,immunotherapy_cellchat::output::quality_control_report,quality_control_report,immunotherapy_cellchat,quality_control_report,File,,,,,,,
io_slot:immunotherapy_cellchat::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,immunotherapy_cellchat::output::visualization_result,visualization_result,immunotherapy_cellchat,analysis_figure,File,,,,,,,
io_slot:ipf_trajectory_regulon::input::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,input,,true,ipf_trajectory_regulon::input::scrna_object_rds,scrna_object_rds,ipf_trajectory_regulon,scrna_object,File,,,,,input_rds,ipf_trajectory_regulon.input_rds,
io_slot:ipf_trajectory_regulon::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,ipf_trajectory_regulon::output::quality_control_report,quality_control_report,ipf_trajectory_regulon,quality_control_report,File,,,,,,,
io_slot:km_survival::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,km_survival::input::clinical_table,clinical_table,km_survival,clinical_table,File,,,,,clinical_xls,km_survival.clinical_xls,
io_slot:km_survival::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,km_survival::input::sample_metainfo,sample_metainfo,km_survival,sample_metainfo,File,,,,,meta_xlsx,km_survival.meta_xlsx,
io_slot:km_survival::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,km_survival::input::tabular_bio_data,tabular_bio_data,km_survival,analysis_summary,File,,,,,expr,km_survival.expr,
io_slot:km_survival::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,km_survival::output::quality_control_report,quality_control_report,km_survival,quality_control_report,File,,,,,,,
io_slot:km_survival::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,km_survival::output::tabular_bio_data,tabular_bio_data,km_survival,analysis_summary,File,,,,,,,
io_slot:lung_tme_annotation_cnv::input::genome_annotation,IOSlot|io_slot,senior-0811-tool-csv,REFERENCE_GENOME_FASTA,input,,true,lung_tme_annotation_cnv::input::genome_annotation,genome_annotation,lung_tme_annotation_cnv,genome_annotation,File,,,,,gene_order,lung_tme_annotation_cnv.gene_order,
io_slot:lung_tme_annotation_cnv::input::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,input,,true,lung_tme_annotation_cnv::input::scrna_object_rds,scrna_object_rds,lung_tme_annotation_cnv,scrna_object,File,,,,,input_rds,lung_tme_annotation_cnv.input_rds,
io_slot:lung_tme_annotation_cnv::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,lung_tme_annotation_cnv::output::quality_control_report,quality_control_report,lung_tme_annotation_cnv,quality_control_report,File,,,,,,,
io_slot:multiqc::input::quality_control_report,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Quality Control Report,input,,true,multiqc::input::quality_control_report,quality_control_report,multiqc,,Array[File]+,,,,,qc_files,MultiQcWorkflow.qc_files,array
io_slot:multiqc::output::quality_control_report,IOSlot|io_slot,qc-report-contract-fix-2026-07-22,Quality Control Report,output,,false,multiqc::output::quality_control_report,quality_control_report,multiqc,,File,,,,,,,
io_slot:paired_fastq_to_unmapped_bam::in::fastq_1,io_slot,wdl-slot-reconciliation-2026-08-23,Paired-end Read 1 FASTQ,input,,true,paired_fastq_to_unmapped_bam::in::fastq_1,fastq_1,paired_fastq_to_unmapped_bam,raw_fastq_read,String,mate,r1,,,fastq_1,ConvertPairedFastQsToUnmappedBamWf.fastq_1,
io_slot:paired_fastq_to_unmapped_bam::in::fastq_2,io_slot,wdl-slot-reconciliation-2026-08-23,Paired-end Read 2 FASTQ from the same sample,input,,true,paired_fastq_to_unmapped_bam::in::fastq_2,fastq_2,paired_fastq_to_unmapped_bam,raw_fastq_read,String,mate,r2,,,fastq_2,ConvertPairedFastQsToUnmappedBamWf.fastq_2,
io_slot:paired_fastq_to_unmapped_bam::out::list,io_slot,,Optional uBAM file list,output,,false,paired_fastq_to_unmapped_bam::out::list,file_list,paired_fastq_to_unmapped_bam,,File,,,,,,,
io_slot:paired_fastq_to_unmapped_bam::out::bam,io_slot,,Unmapped BAM with read-group metadata,output,,false,paired_fastq_to_unmapped_bam::out::bam,unmapped_bam,paired_fastq_to_unmapped_bam,,File,,,,,,,
io_slot:preprocess_counts::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,preprocess_counts::input::tabular_bio_data,tabular_bio_data,preprocess_counts,analysis_summary,File,,,,,count_tsv,PreprocessCountsWorkflow.count_tsv,
io_slot:preprocess_counts::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,preprocess_counts::output::quality_control_report,quality_control_report,preprocess_counts,quality_control_report,File,,,,,,,
io_slot:preprocess_counts::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,preprocess_counts::output::tabular_bio_data,tabular_bio_data,preprocess_counts,analysis_summary,File,,,,,,,
io_slot:rmats_alternative_splicing::input::group1_bais,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,对照组 BAI 数组,input,,false,rmats_alternative_splicing::input::group1_bais,group1_bais,rmats_alternative_splicing,bai,Array[File],comparison_group,group1,,,group1_bais,RmatsAlternativeSplicing.group1_bais,array
io_slot:rmats_alternative_splicing::input::group1_bams,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,对照组 BAM 数组,input,,true,rmats_alternative_splicing::input::group1_bams,group1_bams,rmats_alternative_splicing,transcriptome_bam,Array[File]+,comparison_group,group1,,,group1_bams,RmatsAlternativeSplicing.group1_bams,array
io_slot:rmats_alternative_splicing::input::group2_bais,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,实验组 BAI 数组,input,,false,rmats_alternative_splicing::input::group2_bais,group2_bais,rmats_alternative_splicing,bai,Array[File],comparison_group,group2,,,group2_bais,RmatsAlternativeSplicing.group2_bais,array
io_slot:rmats_alternative_splicing::input::group2_bams,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,实验组 BAM 数组,input,,true,rmats_alternative_splicing::input::group2_bams,group2_bams,rmats_alternative_splicing,transcriptome_bam,Array[File]+,comparison_group,group2,,,group2_bams,RmatsAlternativeSplicing.group2_bams,array
io_slot:rmats_alternative_splicing::output::aligned_bam,IOSlot|io_slot,senior-0811-tool-csv,DNA_GENOMIC_ALIGNMENT_BAM,output,,false,rmats_alternative_splicing::output::aligned_bam,aligned_bam,rmats_alternative_splicing,aligned_bam,File,,,,,,,
io_slot:rmats_alternative_splicing::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,rmats_alternative_splicing::output::quality_control_report,quality_control_report,rmats_alternative_splicing,quality_control_report,File,,,,,,,
io_slot:rmats_alternative_splicing::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,rmats_alternative_splicing::output::tabular_bio_data,tabular_bio_data,rmats_alternative_splicing,analysis_summary,File,,,,,,,
io_slot:rmats_alternative_splicing::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,rmats_alternative_splicing::output::visualization_result,visualization_result,rmats_alternative_splicing,analysis_figure,File,,,,,,,
io_slot:rnaseq_singletask::input::fastq_1,IOSlot|io_slot,sister-task-pipeline,fastq_1,input,,true,rnaseq_singletask::input::fastq_1,fastq_1,rnaseq_singletask,,File,,,,,sample_r1,RNASeqPipeline.sample_r1,
io_slot:rnaseq_singletask::input::fastq_2,IOSlot|io_slot,sister-task-pipeline,fastq_2,input,,true,rnaseq_singletask::input::fastq_2,fastq_2,rnaseq_singletask,,File,,,,,sample_r2,RNASeqPipeline.sample_r2,
io_slot:rnaseq_singletask::input::gtf_file,IOSlot|io_slot,sister-task-pipeline,gtf_file,input,,true,rnaseq_singletask::input::gtf_file,gtf_file,rnaseq_singletask,,File,,,,,gtf_file,RNASeqPipeline.gtf_file,
io_slot:rnaseq_singletask::input::rrna_star_index,IOSlot|io_slot,sister-task-pipeline,rrna_star_index,input,,true,rnaseq_singletask::input::rrna_star_index,rrna_star_index,rnaseq_singletask,,File,,,,,rrna_star_index,RNASeqPipeline.rrna_star_index,
io_slot:rnaseq_singletask::input::rsem_index,IOSlot|io_slot,sister-task-pipeline,rsem_index,input,,true,rnaseq_singletask::input::rsem_index,rsem_index,rnaseq_singletask,,File,,,,,rsem_index,RNASeqPipeline.rsem_index,
io_slot:rnaseq_singletask::input::star_genome_index,IOSlot|io_slot,sister-task-pipeline,star_genome_index,input,,true,rnaseq_singletask::input::star_genome_index,star_genome_index,rnaseq_singletask,,File,,,,,star_genome_index,RNASeqPipeline.star_genome_index,
io_slot:rnaseq_singletask::output::aligned_bam,IOSlot|io_slot,sister-task-pipeline,aligned_bam,output,,false,rnaseq_singletask::output::aligned_bam,aligned_bam,rnaseq_singletask,,File,,,,,,,
io_slot:rnaseq_singletask::output::count_matrix,IOSlot|io_slot,sister-task-pipeline,count_matrix,output,,false,rnaseq_singletask::output::count_matrix,count_matrix,rnaseq_singletask,,File,,,,,,,
io_slot:rnaseq_singletask::output::expression_matrix,IOSlot|io_slot,sister-task-pipeline,expression_matrix,output,,false,rnaseq_singletask::output::expression_matrix,expression_matrix,rnaseq_singletask,,File,,,,,,,
io_slot:rnaseq_singletask::output::quality_control,IOSlot|io_slot,sister-task-pipeline,quality_control,output,,false,rnaseq_singletask::output::quality_control,quality_control,rnaseq_singletask,,File,,,,,,,
io_slot:rnaseq_unsupervised_cluster::in::counts,io_slot,,Raw RNA-seq count matrix without NA rows,input,,true,rnaseq_unsupervised_cluster::in::counts,count_matrix,rnaseq_unsupervised_cluster,,File,,,,,count_tsv,rnaseq_unsupervised_cluster.count_tsv,
io_slot:rnaseq_unsupervised_cluster::out::assignments,io_slot,,GMM soft and hard cluster assignments,output,,false,rnaseq_unsupervised_cluster::out::assignments,cluster_assignments,rnaseq_unsupervised_cluster,,File,,,,,,,
io_slot:rnaseq_unsupervised_cluster::out::stability,io_slot,,Bootstrap ARI NMI and p-value tables,output,,false,rnaseq_unsupervised_cluster::out::stability,cluster_stability,rnaseq_unsupervised_cluster,,File,,,,,,,
io_slot:rnaseq_unsupervised_cluster::out::figures,io_slot,,Cluster selection and stability figures,output,,false,rnaseq_unsupervised_cluster::out::figures,figures,rnaseq_unsupervised_cluster,,File,,,,,,,
io_slot:rsem::input::rsem_index,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,RSEM 索引目录,input,,true,rsem::input::rsem_index,rsem_index,rsem,,File,,,,,rsem_index,RsemQuantificationWorkflow.rsem_index,
io_slot:rsem::input::transcriptome_bam,IOSlot|io_slot,sister-tool-csv,Transcriptome BAM,input,,true,rsem::input::transcriptome_bam,transcriptome_bam,rsem,,File,,,,,transcriptome_bam,RsemQuantificationWorkflow.transcriptome_bam,
io_slot:rsem::output::expression_abundance_matrix,IOSlot|io_slot,sister-tool-csv,TPM / FPKM,output,,false,rsem::output::expression_abundance_matrix,expression_abundance_matrix,rsem,,File,,,,,,,
io_slot:samtools::input::aligned_bam,IOSlot|io_slot,bam-artifact-contract-fix-2026-07-22,Aligned SAM/BAM,input,,true,samtools::input::aligned_bam,aligned_bam,samtools,,File,,,,,alignment,SamtoolsAlignmentWorkflow.alignment,
io_slot:samtools::output::bai,IOSlot|io_slot,slot-model-fix-2026-07-24,bai,output,,false,samtools::output::bai,bai,samtools,bai,File,sample_role,inherit,,,,,
io_slot:samtools::output::sorted_dedup_bam,IOSlot|io_slot,sister-tool-csv,Sorted/Dedup BAM,output,,false,samtools::output::sorted_dedup_bam,sorted_dedup_bam,samtools,,File,,,,,,,
io_slot:scrna_cell_communication::input::sample_metainfo,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,METADATA_SAMPLEINFO,input,,false,scrna_cell_communication::input::sample_metainfo,sample_metainfo,scrna_cell_communication,sample_metainfo,File?,,,,,cell_metadata,ScrnaCellCommunication.cell_metadata,
io_slot:scrna_cell_communication::input::scrna_object_rds,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,SCRNA_OBJECT_RDS,input,expression_source,false,scrna_cell_communication::input::scrna_object_rds,scrna_object_rds,scrna_cell_communication,scrna_object,File?,,,,,seurat_rds,ScrnaCellCommunication.seurat_rds,
io_slot:scrna_cell_communication::input::tabular_bio_data,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,TABULAR_BIO_DATA,input,expression_source,false,scrna_cell_communication::input::tabular_bio_data,tabular_bio_data,scrna_cell_communication,analysis_summary,File?,,,,,combined_counts,ScrnaCellCommunication.combined_counts,
io_slot:scrna_cell_communication::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,scrna_cell_communication::output::quality_control_report,quality_control_report,scrna_cell_communication,quality_control_report,File,,,,,,,
io_slot:scrna_cell_communication::output::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,output,,false,scrna_cell_communication::output::scrna_object_rds,scrna_object_rds,scrna_cell_communication,scrna_object,File,,,,,,,
io_slot:scrna_cell_communication::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,scrna_cell_communication::output::tabular_bio_data,tabular_bio_data,scrna_cell_communication,analysis_summary,File,,,,,,,
io_slot:scrna_cell_communication::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,scrna_cell_communication::output::visualization_result,visualization_result,scrna_cell_communication,analysis_figure,File,,,,,,,
io_slot:snpeff::input::filtered_vcf,IOSlot|io_slot,sister-tool-csv,Filtered (PASS) VCF,input,,true,snpeff::input::filtered_vcf,filtered_vcf,snpeff,,File,,,,,input_vcf,SnpEffAnnotationWorkflow.input_vcf,
io_slot:snpeff::output::annotated_vcf,IOSlot|io_slot,sister-tool-csv,Annotated VCF,output,,false,snpeff::output::annotated_vcf,annotated_vcf,snpeff,,File,,,,,,,
io_slot:stage_heatmap::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,stage_heatmap::input::clinical_table,clinical_table,stage_heatmap,clinical_table,File,,,,,clinical_xls,stage_heatmap.clinical_xls,
io_slot:stage_heatmap::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,stage_heatmap::input::sample_metainfo,sample_metainfo,stage_heatmap,sample_metainfo,File,,,,,meta_xlsx,stage_heatmap.meta_xlsx,
io_slot:stage_heatmap::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,stage_heatmap::input::tabular_bio_data,tabular_bio_data,stage_heatmap,analysis_summary,File,,,,,expr,stage_heatmap.expr,
io_slot:stage_heatmap::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,stage_heatmap::output::quality_control_report,quality_control_report,stage_heatmap,quality_control_report,File,,,,,,,
io_slot:stage_heatmap::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,stage_heatmap::output::tabular_bio_data,tabular_bio_data,stage_heatmap,analysis_summary,File,,,,,,,
io_slot:stage_heatmap::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,stage_heatmap::output::visualization_result,visualization_result,stage_heatmap,analysis_figure,File,,,,,,,
io_slot:star::input::clean_fastq_read,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Clean FASTQ,input,,false,star::input::clean_fastq_read,clean_fastq_read,star,clean_fastq_read,File,mate,r1,,clean_fastq_read_r1,,,
io_slot:star::input::clean_fastq_read_r1,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Clean FASTQ R1,input,,true,star::input::clean_fastq_read_r1,clean_fastq_read_r1,star,clean_fastq_read,File,mate,r1,,,read1,StarRnaSeqWorkflow.read1,
io_slot:star::input::clean_fastq_read_r2,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Clean FASTQ R2,input,,false,star::input::clean_fastq_read_r2,clean_fastq_read_r2,star,clean_fastq_read,File?,mate,r2,,,read2,StarRnaSeqWorkflow.read2,
io_slot:star::input::genome_star_index,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,基因组 STAR 索引,input,,true,star::input::genome_star_index,genome_star_index,star,genome_annotation,File,,,,,genome_star_index,StarRnaSeqWorkflow.genome_star_index,
io_slot:star::input::rrna_star_index,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,rRNA STAR 索引,input,,true,star::input::rrna_star_index,rrna_star_index,star,genome_annotation,File,,,,,rrna_star_index,StarRnaSeqWorkflow.rrna_star_index,
io_slot:star::output::aligned_bam,IOSlot|io_slot,bam-artifact-contract-fix-2026-07-22,Genome-aligned BAM from STAR,output,,false,star::output::aligned_bam,aligned_bam,star,,File,,,,,,,
io_slot:star::output::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,output,,false,star::output::clean_fastq_read,clean_fastq_read,star,,File,,,,,,,
io_slot:star::output::transcriptome_bam,IOSlot|io_slot,sister-tool-csv,Transcriptome BAM,output,,false,star::output::transcriptome_bam,transcriptome_bam,star,,File,,,,,,,
io_slot:survival_analysis::in::clinical,io_slot,,Clinical survival table with patient ID time and status,input,,true,survival_analysis::in::clinical,clinical_survival,survival_analysis,,File,,,,,clinical_file,SurvivalAnalysis.clinical_file,
io_slot:survival_analysis::in::metainfo,io_slot,,Individual Sample Run mapping workbook,input,,true,survival_analysis::in::metainfo,sample_metainfo,survival_analysis,,File,,,,,metainfo_file,SurvivalAnalysis.metainfo_file,
io_slot:survival_analysis::in::maf,io_slot,,MAF with Run accessions,input,,true,survival_analysis::in::maf,somatic_maf,survival_analysis,,File,,,,,maf_file,SurvivalAnalysis.maf_file,
io_slot:survival_analysis::out::figures,io_slot,,Kaplan-Meier figures,output,,false,survival_analysis::out::figures,km_figures,survival_analysis,,File,,,,,,,
io_slot:survival_analysis::out::statistics,io_slot,,Log-rank Cox and merged result tables,output,,false,survival_analysis::out::statistics,survival_statistics,survival_analysis,,File,,,,,,,
io_slot:tcell_intervention::input::scrna_object_rds,IOSlot|io_slot,senior-0811-tool-csv,SCRNA_OBJECT_RDS,input,,true,tcell_intervention::input::scrna_object_rds,scrna_object_rds,tcell_intervention,scrna_object,File,,,,,input_rds,tcell_intervention.input_rds,
io_slot:tcell_intervention::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,tcell_intervention::output::quality_control_report,quality_control_report,tcell_intervention,quality_control_report,File,,,,,,,
io_slot:tmb_survival_analysis::in::clinical,io_slot,,Clinical table with Survival_Time and Vital Status,input,,true,tmb_survival_analysis::in::clinical,clinical_survival,tmb_survival_analysis,,File,,,,,clinical_file,TMBSurvivalAnalysis.clinical_file,
io_slot:tmb_survival_analysis::in::metainfo,io_slot,,Individual Sample Run mapping workbook,input,,true,tmb_survival_analysis::in::metainfo,sample_metainfo,tmb_survival_analysis,,File,,,,,metainfo_file,TMBSurvivalAnalysis.metainfo_file,
io_slot:tmb_survival_analysis::in::maf,io_slot,,Somatic MAF with Tumor_Sample_Barcode,input,,true,tmb_survival_analysis::in::maf,somatic_maf,tmb_survival_analysis,,File,,,,,maf_file,TMBSurvivalAnalysis.maf_file,
io_slot:tmb_survival_analysis::out::figures,io_slot,,KM histogram and boxplot figures,output,,false,tmb_survival_analysis::out::figures,figures,tmb_survival_analysis,,File,,,,,,,
io_slot:tmb_survival_analysis::out::tmb,io_slot,,Per-patient TMB table,output,,false,tmb_survival_analysis::out::tmb,patient_tmb,tmb_survival_analysis,,File,,,,,,,
io_slot:tmb_survival_analysis::out::statistics,io_slot,,Log-rank and analysis report,output,,false,tmb_survival_analysis::out::statistics,survival_statistics,tmb_survival_analysis,,File,,,,,,,
io_slot:trim_galore::input::raw_fastq_read,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Raw FASTQ,input,,false,trim_galore::input::raw_fastq_read,raw_fastq_read,trim_galore,raw_fastq_read,File,mate,r1,,raw_fastq_read_r1,,,
io_slot:trim_galore::input::raw_fastq_read_r1,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Raw FASTQ R1,input,,true,trim_galore::input::raw_fastq_read_r1,raw_fastq_read_r1,trim_galore,raw_fastq_read,File,mate,r1,,,read1,TrimGaloreWorkflow.read1,
io_slot:trim_galore::input::raw_fastq_read_r2,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Raw FASTQ R2,input,,false,trim_galore::input::raw_fastq_read_r2,raw_fastq_read_r2,trim_galore,raw_fastq_read,File?,mate,r2,,,read2,TrimGaloreWorkflow.read2,
io_slot:trim_galore::output::clean_fastq_read,IOSlot|io_slot,sister-tool-csv,Clean FASTQ,output,,false,trim_galore::output::clean_fastq_read,clean_fastq_read,trim_galore,,File,,,,,,,
io_slot:trim_galore::output::clean_fastq_read_r1,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Trimmed FASTQ R1,output,,false,trim_galore::output::clean_fastq_read_r1,clean_fastq_read_r1,trim_galore,clean_fastq_read,File,mate,r1,,,,,
io_slot:trim_galore::output::clean_fastq_read_r2,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,Trimmed FASTQ R2,output,,false,trim_galore::output::clean_fastq_read_r2,clean_fastq_read_r2,trim_galore,clean_fastq_read,File,mate,r2,,,,,
io_slot:umap::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,umap::input::clinical_table,clinical_table,umap,clinical_table,File,,,,,clinical_xls,umap.clinical_xls,
io_slot:umap::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,umap::input::sample_metainfo,sample_metainfo,umap,sample_metainfo,File,,,,,meta_xlsx,umap.meta_xlsx,
io_slot:umap::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,umap::input::tabular_bio_data,tabular_bio_data,umap,analysis_summary,File,,,,,expr,umap.expr,
io_slot:umap::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,umap::output::quality_control_report,quality_control_report,umap,quality_control_report,File,,,,,,,
io_slot:umap::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,umap::output::tabular_bio_data,tabular_bio_data,umap,analysis_summary,File,,,,,,,
io_slot:umap::output::visualization_result,IOSlot|io_slot,senior-0811-tool-csv,VISUALIZATION_RESULT,output,,false,umap::output::visualization_result,visualization_result,umap,analysis_figure,File,,,,,,,
io_slot:wes_somatic_maf_landscape::in::maf,io_slot,,Standard somatic MAF,input,,true,wes_somatic_maf_landscape::in::maf,somatic_maf,wes_somatic_maf_landscape,,File,,,,,maf_file,wes_somatic_maf_landscape.maf_file,
io_slot:wes_somatic_maf_landscape::out::maf,io_slot,,Filtered somatic MAF preserving MAF semantics,output,,false,wes_somatic_maf_landscape::out::maf,filtered_maf,wes_somatic_maf_landscape,,File,,,,,,,
io_slot:wes_somatic_maf_landscape::out::figures,io_slot,,Oncoplot gene frequency and mutation type figures,output,,false,wes_somatic_maf_landscape::out::figures,landscape_figures,wes_somatic_maf_landscape,,File,,,,,,,
io_slot:wes_somatic_maf_landscape::out::statistics,io_slot,,Gene frequency mutation type and sample summaries,output,,false,wes_somatic_maf_landscape::out::statistics,mutation_statistics,wes_somatic_maf_landscape,,File,,,,,,,
io_slot:wes_somatic_pair::input::interval_list,IOSlot|io_slot,workflow-zip-knowledge-card,靶向捕获区间列表（执行端托管）,input,,true,wes_somatic_pair::input::interval_list,interval_list,wes_somatic_pair,interval_list,File,,,,,interval_list,WesSomaticPair.interval_list,
io_slot:wes_somatic_pair::input::normal_r1,IOSlot|io_slot,workflow-zip-knowledge-card,双端 normal Read1 原始 FASTQ,input,,true,wes_somatic_pair::input::normal_r1,normal_r1,wes_somatic_pair,raw_fastq_read,File,sample_role,normal,,,normal_r1,WesSomaticPair.normal_r1,
io_slot:wes_somatic_pair::input::normal_r2,IOSlot|io_slot,workflow-zip-knowledge-card,双端 normal Read2 原始 FASTQ,input,,true,wes_somatic_pair::input::normal_r2,normal_r2,wes_somatic_pair,raw_fastq_read,File,sample_role,normal,,,normal_r2,WesSomaticPair.normal_r2,
io_slot:wes_somatic_pair::input::tumor_r1,IOSlot|io_slot,workflow-zip-knowledge-card,双端 tumor Read1 原始 FASTQ,input,,true,wes_somatic_pair::input::tumor_r1,tumor_r1,wes_somatic_pair,raw_fastq_read,File,sample_role,tumor,,,tumor_r1,WesSomaticPair.tumor_r1,
io_slot:wes_somatic_pair::input::tumor_r2,IOSlot|io_slot,workflow-zip-knowledge-card,双端 tumor Read2 原始 FASTQ,input,,true,wes_somatic_pair::input::tumor_r2,tumor_r2,wes_somatic_pair,raw_fastq_read,File,sample_role,tumor,,,tumor_r2,WesSomaticPair.tumor_r2,
io_slot:wes_somatic_pair::output::annotated_vcf,IOSlot|io_slot,workflow-zip-knowledge-card,annotated_vcf,output,,false,wes_somatic_pair::output::annotated_vcf,annotated_vcf,wes_somatic_pair,annotated_vcf,File,,,,,,WesSomaticPair.annotated_vcf,
io_slot:wes_somatic_pair::output::filtered_vcf,IOSlot|io_slot,workflow-zip-knowledge-card,filtered_vcf,output,,false,wes_somatic_pair::output::filtered_vcf,filtered_vcf,wes_somatic_pair,filtered_vcf,File,,,,,,WesSomaticPair.filtered_vcf,
io_slot:wes_somatic_pair::output::multiqc_html,IOSlot|io_slot,workflow-zip-knowledge-card,multiqc_html,output,,false,wes_somatic_pair::output::multiqc_html,multiqc_html,wes_somatic_pair,quality_control_report,File,,,,,,WesSomaticPair.multiqc_html,
io_slot:wes_somatic_pair::output::normal_bai,IOSlot|io_slot,workflow-zip-knowledge-card,normal_bai,output,,false,wes_somatic_pair::output::normal_bai,normal_bai,wes_somatic_pair,bai,File,,,,,,WesSomaticPair.normal_bai,
io_slot:wes_somatic_pair::output::normal_bam,IOSlot|io_slot,workflow-zip-knowledge-card,normal_bam,output,,false,wes_somatic_pair::output::normal_bam,normal_bam,wes_somatic_pair,sorted_dedup_bam,File,,,,,,WesSomaticPair.normal_bam,
